src_id,target_id,score
rec4Pk2DAfhZXN0yY,recWD7iTI1J2yEF39,0.2
rec4Pk2DAfhZXN0yY,rec5iz605vqgbs7EU,0.2
rec4Pk2DAfhZXN0yY,recPd5zn0dwbHuMbK,0.14285714285714285
rec4Pk2DAfhZXN0yY,recIEt8BOqeWWCRAp,0.2
rec4Pk2DAfhZXN0yY,recEFXjlnDhKcnQuD,0.2
rec4Pk2DAfhZXN0yY,recG9jEcsuRJrIWqM,0.2
rec4Pk2DAfhZXN0yY,recovMmWllkkp198I,0.14285714285714285
rec4Pk2DAfhZXN0yY,recDVHl5LxgAbavhs,0.2
rec4Pk2DAfhZXN0yY,recDtHJFmNP4Pbwhe,0.2
rec4Pk2DAfhZXN0yY,recD1zBTW3IbqSpRP,0.2
rec4Pk2DAfhZXN0yY,recDQFQcq7GDTKIwn,0.5
rec4Pk2DAfhZXN0yY,recYwo8aMaWxjkrFh,0.5
rec4Pk2DAfhZXN0yY,recarfmVX2CLjFh6C,0.2
rec4Pk2DAfhZXN0yY,recstsaTLU4szkJ5G,0.2
rec4Pk2DAfhZXN0yY,rec98dOGNBAUGqNzK,0.2
rec4Pk2DAfhZXN0yY,recJW7MRJHqZOHBAt,0.2
rec4Pk2DAfhZXN0yY,recLEH6dlVe1OpDMJ,0.2
rec4Pk2DAfhZXN0yY,reccYYkM3VqG7Twwa,0.2
rec4Pk2DAfhZXN0yY,recLvrKSlnPft0Oiz,0.2
receEwyu3MCk3Ft8m,rectYjEIgrGR7SffT,0.1111111111111111
receEwyu3MCk3Ft8m,recovMmWllkkp198I,0.14285714285714285
receEwyu3MCk3Ft8m,recstsaTLU4szkJ5G,0.2
recWD7iTI1J2yEF39,rectYjEIgrGR7SffT,0.1111111111111111
recWD7iTI1J2yEF39,receEwyu3MCk3Ft8m,0.2
recWD7iTI1J2yEF39,recovMmWllkkp198I,0.14285714285714285
recWD7iTI1J2yEF39,recYwo8aMaWxjkrFh,0.2
recWD7iTI1J2yEF39,recarfmVX2CLjFh6C,0.2
recWD7iTI1J2yEF39,recstsaTLU4szkJ5G,0.5
recWD7iTI1J2yEF39,reccYYkM3VqG7Twwa,0.2
rec5iz605vqgbs7EU,rec6Z14rGccT5ukG4,0.5
rec5iz605vqgbs7EU,recDAWJfastRekdyB,0.2
rec5iz605vqgbs7EU,rectYjEIgrGR7SffT,0.1111111111111111
rec5iz605vqgbs7EU,recVBiQz5oh6c2fZ1,0.14285714285714285
rec5iz605vqgbs7EU,recLEhS1xnpBcBY9I,0.5
rec5iz605vqgbs7EU,recOlnIqyzPxtxCqo,0.3333333333333333
rec5iz605vqgbs7EU,receEwyu3MCk3Ft8m,0.2
rec5iz605vqgbs7EU,recWD7iTI1J2yEF39,0.2
rec5iz605vqgbs7EU,recPd5zn0dwbHuMbK,0.3333333333333333
rec5iz605vqgbs7EU,recIEt8BOqeWWCRAp,0.2
rec5iz605vqgbs7EU,recEFXjlnDhKcnQuD,0.2
rec5iz605vqgbs7EU,recG9jEcsuRJrIWqM,0.2
rec5iz605vqgbs7EU,recovMmWllkkp198I,0.14285714285714285
rec5iz605vqgbs7EU,recDVHl5LxgAbavhs,0.2
rec5iz605vqgbs7EU,recDtHJFmNP4Pbwhe,0.2
rec5iz605vqgbs7EU,recD1zBTW3IbqSpRP,0.2
rec5iz605vqgbs7EU,recDQFQcq7GDTKIwn,0.2
rec5iz605vqgbs7EU,recYwo8aMaWxjkrFh,0.2
rec5iz605vqgbs7EU,recarfmVX2CLjFh6C,0.2
rec5iz605vqgbs7EU,recstsaTLU4szkJ5G,0.2
rec5iz605vqgbs7EU,rec98dOGNBAUGqNzK,0.2
rec5iz605vqgbs7EU,recJW7MRJHqZOHBAt,0.2
rec5iz605vqgbs7EU,recLEH6dlVe1OpDMJ,0.5
rec5iz605vqgbs7EU,reccYYkM3VqG7Twwa,0.2
rec5iz605vqgbs7EU,recLvrKSlnPft0Oiz,0.2
recPd5zn0dwbHuMbK,recqcIYe0dtKP1jbm,0.25
recPd5zn0dwbHuMbK,rectYjEIgrGR7SffT,0.2
recPd5zn0dwbHuMbK,recVBiQz5oh6c2fZ1,0.42857142857142855
recPd5zn0dwbHuMbK,receEwyu3MCk3Ft8m,0.14285714285714285
recPd5zn0dwbHuMbK,recWD7iTI1J2yEF39,0.14285714285714285
recPd5zn0dwbHuMbK,recovMmWllkkp198I,0.1111111111111111
recPd5zn0dwbHuMbK,recYwo8aMaWxjkrFh,0.14285714285714285
recPd5zn0dwbHuMbK,recarfmVX2CLjFh6C,0.14285714285714285
recPd5zn0dwbHuMbK,recstsaTLU4szkJ5G,0.14285714285714285
recPd5zn0dwbHuMbK,reccYYkM3VqG7Twwa,0.14285714285714285
recPd5zn0dwbHuMbK,recrRjLKFzbXYNlqF,0.3333333333333333
recPd5zn0dwbHuMbK,recdSrzoBFdkV7Y0s,0.14285714285714285
recIEt8BOqeWWCRAp,rectYjEIgrGR7SffT,0.1111111111111111
recIEt8BOqeWWCRAp,recVBiQz5oh6c2fZ1,0.14285714285714285
recIEt8BOqeWWCRAp,recLEhS1xnpBcBY9I,0.2
