id,createdTime,fields.Network Data,fields.Type,fields.Name,fields.Last Modified,fields.Incoming Document,fields.Global
recdjtg2QEQYTwUUG,2024-07-19T04:00:45.000Z,,สำนักงานนโยบายและแผน,Global Compact,2024-07-19T10:47:45.000Z,['recTOqhetJDgwT0wo'],
rece6y9GzM77cfK4J,2024-08-18T15:58:38.000Z,['recW7LzJfFyJi4DZC'],เอกชน,บริษัทไทยพลาสิก ริไซเคิล กรุ๊ป จำกัด,2024-08-18T16:02:47.000Z,,
recfRMkcSLjmVxMfr,2024-08-18T15:58:38.000Z,['rectPKHXm3aZhrZ5q'],ภาครัฐ,Bank of Thailand (BOT),2024-08-18T15:59:20.000Z,,
recgEjCwgLgioDc2t,2024-07-19T04:00:45.000Z,,ภาครัฐ,สำนักงาน กสทช,2024-07-19T10:40:24.000Z,['recsqlCxjQ6GhQ1jf'],
recga070fWpRET4yj,2024-08-18T15:58:38.000Z,['rec1p4uhKIjWXukDT'],pending,EA Futura,2024-08-18T15:59:34.000Z,,
rechHeXxz6flFIayw,2024-08-18T15:58:38.000Z,"['rec7IfScTTzgn90Ec', 'recfreq4rMOcCzjto']",สำนักงานนโยบายและแผน,สถาบันวิจัยวิทยาศาสตร์และเทคโนโลยีแห่งประเทศไทย (วว.),2024-08-18T16:04:16.000Z,,
rechc735IMJJMykL2,2024-07-26T09:17:11.000Z,,เอกชน,ธนาคารบัวหลวง (BBL),2024-07-26T09:23:48.000Z,,
rechmaSgYSX6uRAlN,2024-07-19T04:00:45.000Z,['rec4mzkjTDpcHx1mO'],สำนักงานนโยบายและแผน,สภาอุตสาหกรรมแห่งประเทศไทย,2024-07-19T10:47:45.000Z,['recDHlJQmWtiRfqag'],
reciHgZL6llW9ASZz,2024-07-19T04:00:45.000Z,,องค์กร,ศูนย์วิจัยและสนับสนุนเป้าหมายการพัฒนาที่ยั่งยืน (SDG MOVE),2024-08-18T16:03:13.000Z,['recfbodb0nfN8YeHD'],
reciJTy6homZP5PfC,2024-07-19T04:00:45.000Z,['reccJCMDwnl5Wx4B4'],สำนักงานนโยบายและแผน,องค์การบริหารจัดการก๊าซเรือนกระจก (องค์การมหาชน) TGO,2024-07-19T10:47:45.000Z,['recc6qPYFKuNmSDTE'],
reciy1ZhsnjJvvsxK,2024-08-18T15:58:38.000Z,"['reciBAq85FmXD8yf8', 'recxUgE67zQYbyELe']",pending,เครือข่ายป่าชุมชนจังหวัดสระบุรี,2024-08-18T16:02:22.000Z,,
reckIS8YPi30RRbbS,2024-07-19T04:00:45.000Z,,มหาวิทยาลัย,มหาวิทยาลัยธรรมศาสตร์,2024-07-19T10:35:35.000Z,['recx87t4R4L8Y6rry'],
reckUcALjjdUZPOig,2024-08-18T15:58:38.000Z,"['recXHuiN79k7EzIJb', 'recUQC0PEWVLtyGfQ', 'recUWYkhkv8dhNlwo']",ภาครัฐ,สำนักงานเกษตรจังหวัดสระบุรี,2024-08-18T16:04:36.000Z,,
recl3AgDyVaZZg6YL,2024-07-19T04:00:45.000Z,,มหาวิทยาลัย,มหาวิทยาลัยเกษตรศาสตร์,2024-07-19T10:35:32.000Z,"['recgNvcuGXWCbhY1e', 'recZWPGyDS4xuNsng']",
recl8zVyZell3NYPB,2024-07-19T04:38:55.000Z,['recG0b86r00Fefx3k'],ภาครัฐ,พรรคก้าวไกล,2024-07-19T10:41:38.000Z,,
reclwUOXm5yGoBFQn,2024-07-19T04:00:45.000Z,,สำนักงานนโยบายและแผน,SX Sustainablity Expo 2023,2024-07-19T10:47:45.000Z,['recpFNEldTpZuviTu'],
recmBVdX7gAGIRbY4,2024-07-19T04:45:00.000Z,['recJpgUYQUSHcX7UO'],เอกชน,บมจ.บางจากคอร์ปอเรชั่น Bangchak,2024-07-19T10:41:38.000Z,,
recmVCjTteCM4st4Z,2024-08-18T16:10:25.000Z,['rec4gIGxihKJMjph6'],ภาครัฐ,กระทรวงแรงงาน ,2024-08-19T05:02:54.000Z,,
recmVqZirM6sglr3A,2024-08-18T15:58:38.000Z,['reccNRVsIR67rZWnL'],pending,World Economic Forum,2024-08-18T16:02:09.000Z,,
recqDpqjlLiDnZq9V,2024-08-18T16:12:22.000Z,,เอกชน,บริษัท ปูนซิเมนต์ไทย จำกัด (SCG),2024-08-19T05:02:50.000Z,['rec4Wvf1GBfArOXa7'],
recr1zNdH1GYf6QFH,2024-07-19T04:00:45.000Z,,สำนักงานนโยบายและแผน,UNIDO,2024-07-19T10:47:45.000Z,['recP7LiDBRZoj2IIA'],True
recrqLYMthIqeAnit,2024-07-19T04:35:17.000Z,['reckNOIJEOvqQdxyq'],เอกชน,บริษัท กัลฟ์  เอ็นเนอร์จี  ดีเวลลอปเมนท์  จำกัด (มหาชน) GULF,2024-07-19T10:41:38.000Z,,
recuH5WB0jXxXM6EE,2024-07-19T04:44:07.000Z,['recBZXby4bXGkTF9R'],ภาครัฐ,กรมสรรพสามิต,2024-07-19T10:41:38.000Z,,
recuUmcs4KrgWm1HW,2024-08-18T15:58:38.000Z,['rec715aV5DM3sXsPR'],เอกชน,Airbus,2024-08-18T15:59:04.000Z,,True
recucXYhdDlM4TkKk,2024-08-18T16:10:25.000Z,['rec6TxGsCZMmUT3gs'],ภาครัฐ,กรมคุ้มครองสิทธิและเสรีภาพ กระทรวงยุติธรรม ,2024-08-19T05:02:58.000Z,,
recupp9K92Ox1B0Ah,2024-08-16T08:51:56.000Z,,pending,อื่นๆ - Other,2024-08-18T13:00:11.000Z,,
recvYj3fJOZTHpmdo,2024-08-18T15:58:38.000Z,['rec3fd3Z8vUcSs0uy'],ภาครัฐ,Embassy of the Kingdom of the Nethelands,2024-08-18T15:59:37.000Z,,
recwE72mPRWaWVX3c,2024-07-19T04:00:45.000Z,,สำนักงานนโยบายและแผน,วปอ,2024-07-19T10:47:45.000Z,['recOjgOax3QDHTu4O'],
recwagi7H7lgvxdBR,2024-07-19T04:00:45.000Z,,สำนักงานนโยบายและแผน,International Wire & Machinery Association (IWMA),2024-07-19T10:47:45.000Z,['recTQA7ydhaBOPrtu'],
recxdWDMenPcidBac,2024-07-19T04:00:45.000Z,,สำนักงานนโยบายและแผน,สถาบันส่งเสริมการบริหารกิจการบ้านเมืองที่ดี สำนักงาน ก.พ.ร.,2024-07-19T10:47:45.000Z,['reckYL5jUlAbFaPxp'],
recyKdOCnKlt75PMK,2024-08-18T15:58:38.000Z,['recrjRHrtJX5yAKFz'],pending,ThaiEV,2024-08-18T16:00:55.000Z,,
recyLOlw7oAwzbdj1,2024-07-19T10:41:38.000Z,"['rec6HcpeVT3M3YKW7', 'recMqSegAu1hfV3DD']",สำนักงานนโยบายและแผน,สถาบันวิจัยเพื่อการพัฒนาประเทศไทย (TDRI),2024-08-18T16:03:52.000Z,,
recyZQ4DyklmPW807,2024-07-19T04:00:45.000Z,,เอกชน,FUJITSU (Thailand),2024-07-19T10:31:52.000Z,['recAdxuNvj53AFMHR'],
recyysU4ae7XhhM7R,2024-07-19T04:00:45.000Z,,มหาวิทยาลัย,มหาวิทยาลัยมหิดล คณะสาธารณสุข,2024-07-19T10:35:35.000Z,"['recIyKMiRVDO1GYQf', 'recWx0pmEnTTvm331']",
reczKFChE24p6E6J9,2024-08-18T15:58:38.000Z,['recKh6UL0T2aeWqID'],ภาครัฐ,สำนักงานเกษตรอำเภอเสาไห้,2024-08-18T16:04:38.000Z,,
reczu68mQSsLl5oMU,2024-07-19T04:38:16.000Z,['rec4Xa3770RKo0r37'],เอกชน,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน) CP,2024-07-31T04:10:23.000Z,,
